AcresBurned,Latitude,Longitude,Started,UniqueID,StationDistance,StationID,Total ETo (in),Total Precip (in),Avg Sol Rad (Ly/day),Avg Vap Pres (mBars),Avg Max Air Temp (F),Avg Min Air Temp (F),Avg Air Temp (F),Avg Max Rel Hum (%),Avg Min Rel Hum (%),Avg Rel Hum (%),Avg Dew Point (F),Avg Wind Speed (mph),Avg Soil Temp (F)
281893,34.41521,-119.09124,Dec 2017,d28bc34e-73a8-454d-9e55-dea7bdd40bee,6.319871044,198,3.52,0,266,6.6,76.9,44.2,59.5,71,21,42,32.3,4.7,57.9
281893,34.41521,-119.09124,Dec 2017,d28bc34e-73a8-454d-9e55-dea7bdd40bee,6.319871044,198,3.52,0,266,6.6,76.9,44.2,59.5,71,21,42,32.3,4.7,57.9
132127,36.45994,-121.89938,Jul 2016,977ac7ce-4204-4cd3-9f89-727142165261,5.713348748,210,5,0.01,581,14,65.5,50.6,57.1,100,74,88,53.6,3.6,68.3
97717,38.805437,-120.629714,Sep 2014,3df6ecf7-f095-483d-b1c4-2dc969d61261,8.025294931,13,6.01,1.05,462,9.3,82.1,59.7,70.6,54,28,40,41.8,5.4,64.1
96949,34.235,-118.70128,Nov 2018,92d7aeea-7abf-47a4-bf76-a4fe0fac65c6,4.155006127,219,3.26,0.87,298,7.4,76.1,51,62.4,66,23,42,31.4,3.1,65.2
96949,34.235,-118.70128,Nov 2018,92d7aeea-7abf-47a4-bf76-a4fe0fac65c6,4.155006127,219,3.26,0.87,298,7.4,76.1,51,62.4,66,23,42,31.4,3.1,65.2
56556,38.4041,-122.5209,Oct 2017,be79d28c-767d-4a0d-b168-e86a5842004f,7.820600362,77,3.88,0.01,329,8.8,82.2,42.3,60.7,85,24,51,39.9,3,59.5
56556,38.4041,-122.5209,Oct 2017,be79d28c-767d-4a0d-b168-e86a5842004f,7.820600362,77,3.88,0.01,329,8.8,82.2,42.3,60.7,85,24,51,39.9,3,59.5
48920,39.04786,-123.11971,Jul 2018,af30fe23-6cfd-4fd6-b2d9-91648eeae814,4.969596682,106,8.32,0.59,673,13.9,95.1,51.5,73.3,86,27,52,53.2,3.9,70.8
48920,39.04786,-123.11971,Jul 2018,af30fe23-6cfd-4fd6-b2d9-91648eeae814,4.969596682,106,8.32,0.59,673,13.9,95.1,51.5,73.3,86,27,52,53.2,3.9,70.8
48920,39.04786,-123.11971,Jul 2018,af30fe23-6cfd-4fd6-b2d9-91648eeae814,4.969596682,106,8.32,0.59,673,13.9,95.1,51.5,73.3,86,27,52,53.2,3.9,70.8
31359,34.16027778,-116.8927778,Jun 2015,17616590-ce26-4c73-bf81-70d338d027ce,5.640906617,199,6.22,0.36,637,6,74.7,39.8,59,65,19,36,30,3.4,59.9
23136,33.69888,-117.52055,Aug 2018,5b9e5ea7-1f63-46dd-aabd-8cf407c6f4ba,6.952092031,245,6.93,0.04,610,19.8,89.9,63,74.5,97,42,68,63.1,3.4,71.1
18430,34.55096,-119.9494,Jul 2017,dfd1e0d9-42b5-436a-aa83-ffcbbb7a6145,9.230084236,64,7.21,1.24,588,15.1,90.6,53.7,68.9,95,33,64,55.7,4.7,78.2
15619,34.31283,-118.35863,Dec 2017,a245b55b-3eb7-49dd-9a5e-909d53854055,4.253595348,216,3.79,0.32,338,4.3,74.7,47.5,60,41,15,26,21.9,3.6,58.6
12518,34.63445,-120.54421,Sep 2016,f6afb8c4-32dc-4e6d-8d30-e6b7ccd4a62f,3.378215255,231,nan,0,434,14.1,72.8,51.4,61.2,91,61,77,53.6,6,68.8
10343,36.12089,-120.37116,May 2017,65062933-27cf-48d7-8e4c-9a7ac78e65ff,3.864816423,205,8.21,0.09,582,9,83.9,56.2,70.8,58,21,36,41.2,6.5,69.8
9999,34.302212,-118.997115,Oct 2019,31852a71-e639-496f-9e7d-0968d1c218b3,5.724090413,152,5.02,0.06,434,10,78.4,48.9,64,83,29,53,42.5,4.4,61.6
9989,39.32198,-121.4021,Oct 2017,608ed849-d1ec-4b0d-a477-d1b8e9c7e6dd,7.649091924,84,3.99,0.52,354,9.2,78.5,52.8,64.9,61,30,44,41.4,3.8,64.1
8799,34.32988,-118.48161,Oct 2019,c52717d6-0297-4c5b-a0f1-f17abcd7ac27,6.656225937,215,6.47,0.04,448,6.4,82.7,58.1,69.4,51,14,28,29,7.1,63.3
8110,34.28771,-117.27338,Aug 2016,69c7b8cc-061e-4ca6-b5e8-83c6ae9d8a25,4.396910115,192,7.54,0,636,9.3,80.7,49,66.6,77,23,42,41.7,4.9,61.5
7194,34.22957,-118.2674,Sep 2017,c2bf9820-7e90-43c4-bd3d-1b26ef7ada51,8.169136417,216,5.32,0.07,477,14.7,86.3,59.2,71.7,79,37,56,53.7,3.4,79
6488,38.512,-122.104,Jul 2014,756d8f5b-bc05-4741-a5a3-3b20ca21906d,8.689100568,139,nan,0,615,13.6,94,59.6,77.1,77,23,43,52.7,3.4,76.5
6049,34.45283,-118.58188,Dec 2017,1e11fa40-e850-45d2-b65e-05aadc9f02f1,4.797905938,204,4.01,0,291,3.3,73,45.1,58.2,34,11,21,14.6,6.3,51.1
5738,36.07228,-120.26561,Apr 2017,0cacf259-1ba3-4e8c-a938-feaab2655c4b,9.680613789,205,5.53,0.3,436,8.1,74.2,46.2,60.9,73,26,45,38.2,6.4,61.4
5731,38.52513,-122.06788,Aug 2016,057fd4e2-7400-4fc4-9b23-3daf67fc8610,6.381397726,139,nan,0.02,574,12,92.7,54.6,73.3,81,20,43,49.2,2.8,72.8
4824,34.31,-118.335,Nov 2016,ca1227b3-1458-44c9-b32e-2994e309f940,4.969414644,216,3.14,0.98,311,7.2,79.2,51.2,63.3,66,12,32,16.7,3.2,63.1
4564,37.39339,-120.34207,Jun 2018,3de50f18-061e-40f4-8ee4-8a3d3ef25fb1,6.275798608,148,7.89,0,728,13.4,90.2,48.9,70.5,93,29,53,52.2,3.2,63.4
4531,34.22685,-118.93444,Nov 2018,bc95da49-28a0-4e56-88d9-72e7455063c0,4.035002538,152,3.04,0.86,295,10.1,73.9,48.1,60.8,83,35,58,41.4,3,57.5
4240,38.5691,-120.7819,Jul 2014,4d07ccc3-32be-4a1d-acac-18333884c97d,4.369493135,227,7.94,0,662,11.2,90.6,60.2,75.6,63,22,39,47.2,3.3,77
4240,38.5691,-120.7819,Jul 2014,4d07ccc3-32be-4a1d-acac-18333884c97d,4.369493135,227,7.94,0,662,11.2,90.6,60.2,75.6,63,22,39,47.2,3.3,77
3876,36.38123,-121.20059,May 2016,55fa95e6-f09e-42c4-889b-a4b5b63dccf2,6.685603444,114,6.1,0,573,12.8,73.4,50,59.7,92,50,73,50.9,7,64.5
3380,34.48229,-118.60858,Sep 2018,4fa2e1e0-a920-4991-beb6-3c080b6c1500,7.370108651,204,6.63,0,569,12.4,90.7,58.6,73.1,72,24,45,49.2,4.6,67.5
3166,34.288877,-116.941311,May 2013,a1b14be5-a8cf-4e40-8588-96becf4c5879,6.310176177,199,6.37,0.6,687,4.6,64.2,32.1,49.6,67,20,39,23.8,4.2,54.8
3126,34.5025,-119.785,Nov 2019,7555692b-f672-4660-8f15-d0dab068a193,5.566375024,107,2.19,1.83,253,10.9,71.3,48.7,58.5,87,45,66,45.8,2.3,60.6
2944,36.0749,-120.452041,Jul 2016,423df2bd-4464-44e0-8b8a-74f953613287,9.412719648,205,10.3,0,706,8.9,97.9,66.4,83.9,35,15,23,41.3,5.7,77.5
2446,35.3477,-120.6269,Aug 2015,fde8f46b-0225-4489-be2d-68453a524190,3.780767443,52,6.1,0,584,16.3,80.3,58.5,67.8,92,50,71,57.7,3.1,73
2269,38.49521,-122.0251,Jul 2017,a7509e35-3083-4306-bcce-ebf6d101b62a,3.240314644,139,nan,0,659,12,96,58.1,77.9,74,18,37,49.2,3.3,77.7
2162,38.431278,-122.043747,Aug 2018,2ce8de99-7e66-4de8-9426-48a4fc8500ac,6.600403632,139,nan,0.01,607,14,91.4,55.9,73.5,88,28,51,53.5,2.8,76.2
2070,37.40208,-118.50235,Feb 2018,3d866877-330a-4a14-b5bd-48675955af64,7.325742951,35,2.83,0.03,356,2.8,59.5,21.5,40.3,67,14,32,12.5,4,45.1
2056,32.65597,-116.80527,May 2017,c4d0a25f-02f6-4877-a944-8f5d50bf2335,9.443024676,147,5.48,1.65,559,14.2,73.1,56.2,63.7,90,55,71,53.7,4.3,67.9
1984,34.55048,-119.82429,May 2013,abc61995-8bea-4be1-aa49-ee378ab3baaa,9.841663053,107,5.7,1.16,571,13.7,73.2,52.6,62.6,94,51,71,52.9,3.5,69
1952,34.1703,-117.8816,Jan 2014,1fe0ea01-23e8-47a1-8fbd-ced6cf655e4d,7.376932337,159,2.48,0.22,207,7,74.8,47.2,59.3,64,24,42,33.7,3,56.9
1926,33.528469,-117.273157,Sep 2019,f68808fb-a705-4083-a136-1a45c61c7f74,4.233065102,62,4.67,0.03,380,15.2,86.7,62.2,72.3,87,35,58,55.5,2.8,71.8
1900,40.99344,-121.52225,Aug 2018,ce93c72c-eb9c-4176-a2b6-7750a4a6bb20,6.665664219,43,7.16,0,604,10.1,87.3,45.4,66.2,87,22,46,44.8,4.2,68.4
1806,34.282179,-118.803389,Oct 2019,00e6d6d5-f168-45fa-817a-f7758a5170b7,3.296463575,217,3.33,0.06,1411,8.7,81.4,53.1,66.2,72,22,42,37.8,4.6,65.6
1785,35.20993,-118.72272,Jul 2016,140def53-175c-4f5d-b8e3-de0643781ff7,3.854298563,125,9.78,0,695,12.6,98.3,65.7,83.7,57,19,32,50.6,4,82.2
1756,36.85156,-120.77206,May 2018,92c441f3-4729-4ba5-890f-fb7693725275,3.862992294,124,7.63,0,646,9.5,80,49.5,65.4,72,28,45,43.1,5.3,65.3
1660,38.14242,-122.47301,Oct 2017,fe6e94d7-7b47-4992-9a52-787e1fad8171,5.132750075,187,4.16,0.13,361,9.2,77.6,41.7,59.1,88,28,54,41.6,4.3,63.1
1548,33.003,-117.133,May 2014,9e5ee790-ee7e-4b40-b300-7a3046901162,8.113779507,150,6.25,0.02,632,13.5,76.9,55.7,66.8,86,49,64,50.9,4.2,74.1
1503,34.2976,-116.826,Jun 2017,b5dd68e2-ec95-47cd-a126-d5f6f0f2b49a,4.975008552,199,7.37,0.17,743,7.2,78,37.8,60.3,92,17,38,34.2,3.4,58.6
1350,34.00566,-117.30693,Apr 2017,c254df3f-a241-4983-a880-e12944a9f7b2,3.49180772,44,6.13,0.04,535,9.6,77.8,51.1,64.6,75,27,47,42.6,4.7,65.1
1350,39.28926,-121.85906,Jun 2019,23cee99c-662f-4409-80d0-b9eb3a6287b3,6.916158099,244,7.83,0,705,17.4,90.1,61.1,75.7,88,36,57,58.9,4.1,72.8
1261,33.62924,-117.05992,May 2018,693a86e6-8985-4e70-8ba8-869786ff538b,3.295686479,179,5.94,0.03,579,12.5,74.9,51,61.4,93,45,69,50.2,6.5,58.4
1109,34.36763,-118.57245,Jul 2016,79b446a4-d809-4aa2-9f30-091a05ed697d,5.267256585,215,8.01,0.03,703,14.3,94,59.7,75.7,91,25,50,54.4,3.1,74.7
1044,33.98212,-117.30819,Aug 2017,c57ff6c2-e5df-48c5-831c-1dbad73df5ef,2.313247803,44,6.4,0.39,523,19.8,93,65.7,77.5,93,35,61,62.1,4,78.1
867,39.1234,-121.32957,Aug 2017,f31a117a-572a-4956-9797-ad08e3933bb7,8.963568466,84,7.1,0,572,17.2,94.7,66.3,80.8,73,32,49,59,3.6,77.4
822,38.59694444,-121.9938889,Jul 2018,e51ff5f0-09d5-42f3-8bed-c1c6eb85d245,6.686876333,139,nan,0,674,14.7,97.3,61.2,79.2,76,25,44,54.7,3.6,78.1
760,34.37443,-118.49343,Jun 2017,c940ef85-44ce-4684-bce3-7cbbf180cefb,3.951749493,204,8.37,0.01,716,13.3,90.2,59.5,74.4,72,30,51,51.8,5.1,67.6
756,36.40193,-119.030621,Aug 2019,8faaa845-634f-4f94-b25e-f5ae78703da6,1.798886202,258,7.25,0,577,17.1,96.6,63.1,80,85,27,49,58.9,3.2,79.8
745,34.098191,-118.478717,Oct 2019,e693477a-37d2-4aba-9e73-a63421a2b3a6,3.719856701,99,4.57,0,448,10.9,78.2,57.4,67.1,77,30,55,47.4,3.4,64.8
712,34.49149,-118.610044,May 2013,39af7eac-c188-411f-8c8a-d165c5fca4a9,7.803829211,204,8.02,0.28,613,9.2,81.1,54,68,65,26,45,43.3,6.8,65
670,34.14575,-117.17813,Jun 2017,a3159a43-d38c-4655-9acf-371bc9a6213b,2.383781902,251,7.85,0.76,652,19.4,96.5,63.8,82,76,29,47,57,4.5,73.9
632,34.609,-120.454,May 2014,d08b0c4e-35d3-43fb-8af8-1756b1789172,5.969638545,231,5.9,0.07,564,11.3,69.4,46.5,57.7,87,53,71,47.6,7.2,62.7
605,40.00171,-122.25421,Oct 2019,828b2492-fc44-4fc0-97fa-f0b439e6fa0d,7.04579141,222,4.8,0.02,391,7.4,77.9,44.5,59.7,73,20,42,35.1,6.1,59.2
600,40.715556,-122.241944,Aug 2019,1bf3e829-5fb3-43d2-9179-6c337709df19,7.543264891,224,7.19,0.59,609,14.4,95.5,60.5,78.2,82,23,44,54.3,3.1,76
550,39.6708,-121.7192,Aug 2016,e5122d1e-2bfc-4fa6-8152-da309e02c004,8.433071159,12,6.46,0.03,620,18.1,89.4,57.4,72.5,95,40,66,60.5,2.2,75.6
520,33.4853,-117.043723,Sep 2019,c9327432-b3d3-4ea1-b810-d339dc9e25c3,4.658280576,237,6.32,0.03,533,14.4,89.4,60.8,73.7,78,31,53,53.8,4.9,70.8
518,35.2013,-118.7212,Aug 2016,2656ad63-b3e1-467f-9982-0229fd31c0f5,3.958536789,125,8.83,0,598,12.6,97.7,63.9,82,59,20,34,50.5,3.6,81.6
494,34.01778,-117.4625,Oct 2019,8f23653c-1a4c-4609-bfb3-72b1665eab69,9.39696017,44,5.11,0,467,7.8,82.9,52.8,67,61,17,35,35.2,4,64
492,37.96866,-121.91453,Jul 2013,522114fe-ada8-49a9-9bb2-5891103ff0ca,7.976911349,170,7.43,0,680,14,84.6,56.2,68.4,86,33,60,53.4,5.3,68.5
486,33.3906,-117.32348,May 2017,3d595f75-d59e-4453-b25c-48207b02f529,9.331735764,62,5.6,0.94,553,14.8,79.2,54.1,64.4,95,50,75,54.5,3.4,64.7
460,34.09773,-117.10567,Jul 2017,1348f32a-510f-4ad3-971f-b75b9cf9f0c0,5.60967634,251,8,2.46,609,16.5,96.8,66,80.7,75,26,47,57.9,4.4,77.5
450,36.616986,-120.369347,Jun 2017,a9d270c5-aacb-4dad-a34e-ab28a7192248,1.456792693,105,9.55,0,702,12.5,96.5,61,79.9,64,21,36,49.8,6.7,79.4
448,32.575556,-117.026667,Aug 2019,ca65fae0-e6d7-4600-890c-62da03753131,7.039596585,147,6.65,0.01,640,18.7,81.8,61.4,69.8,96,54,76,61.6,3.7,77.7
444,34.67403,-120.4393,Sep 2017,f839c34f-de3b-4e79-9b4f-e3502557d32b,5.090968727,231,nan,0,449,16.3,77.2,54.4,64.8,90,54,76,55.6,6,69.6
422,34.09454,-118.48178,Dec 2017,2aad53ef-d6c3-43dc-92e6-b2f9881ff161,3.482186394,99,2.95,0.01,288,6.3,72.1,49.9,61,63,21,38,30.6,3.4,55.2
416,36.22265,-119.06598,Jul 2017,0d93e84b-8460-4d5d-946c-630ade76747d,9.884024558,169,8.22,0,631,16.4,102.6,65.8,83.4,75,20,42,57.8,3.1,80.1
415,34.361007,-118.535793,Jun 2015,e61d1b0b-4f19-460a-a6ac-e83a6e0a05a9,4.681261603,204,7.31,0.01,572,12.3,87.7,59.2,73.1,73,29,50,50.5,5.1,68.8
400,36.6313,-121.4819,Mar 2014,cb580f06-5d43-46aa-8b2c-f2b5a21eff02,3.883076924,214,3.72,0.9,410,11.2,69.5,46.5,56.4,93,48,73,47.3,3.6,62.5
400,36.35502,-121.1563,Sep 2018,7fc0b9c8-dec7-430d-9790-1bbebae404eb,9.333639028,114,5.26,0,503,13.6,78.2,49.3,60.8,97,45,75,52.7,6.4,64.2
370,38.02929,-122.25544,Jul 2017,2adaf964-e996-4e55-a616-ac42375ee156,7.492170186,213,5.39,0.19,573,13.3,66.7,52.3,58.1,94,66,81,52.2,6.4,67.4
365,33.07892,-116.91845,Jul 2018,2b56b06d-46d6-43f2-b474-2598dd163e82,3.952983082,153,7.46,0.03,619,21.4,91.6,64.7,76.4,93,44,70,65.5,4.5,80.2
354,37.160346,-120.937494,May 2013,ca68f3c4-4906-4952-b794-4531d7da8369,6.296164931,92,nan,0,646,8.9,84.5,47.2,66.8,79,20,40,40.9,6,76
350,33.975405,-117.207068,Oct 2019,8739a46c-9d9b-464c-87d0-31738601d96f,8.9929535,44,5.11,0,467,7.8,82.9,52.8,67,61,17,35,35.2,4,64
347,39.59872,-121.78208,Jun 2018,a3ba8fc0-37f7-4c1a-9386-627d3369a03e,3.001229588,12,7.64,0,727,15.6,89.3,57.1,73,91,32,57,56.2,3,76.4
328,33.985972,-117.414111,Oct 2019,e59fa47f-0f47-49a9-a2c5-092cfaf68ed5,5.51631247,44,5.11,0,467,7.8,82.9,52.8,67,61,17,35,35.2,4,64
300,33.59257,-117.14979,Dec 2017,e1a8e4f1-ba7c-431a-a8c4-069fa3d3d36c,6.243778746,179,2.03,0,297,4.3,73.9,33.4,52.2,64,12,33,21.3,1.1,49.5
300,33.389425,-117.502405,May 2018,32708961-025a-4bf7-88c1-8cd91bbc3cce,7.666968171,241,4.86,0.71,501,11.3,67.8,52.1,59.7,74,52,65,47.7,4.4,66.7
300,39.622137,-121.693472,Sep 2019,b8e5a940-0fb5-4c63-93ab-a855cfdc4e0c,9.083973499,12,4.78,0.39,476,14.7,84.9,53.8,68.2,93,35,63,54.6,2.8,72.2
278,36.88286,-119.654,May 2016,09ab0430-7679-494c-96d4-d7d938351cf4,7.446249324,80,7.56,0.69,650,11.8,82.3,55.1,69.3,84,28,49,48.8,5.6,69.2
268,37.94714,-121.9921,Jun 2018,53770321-4d20-4db9-bfad-754f9eeabc2b,5.093732273,170,7.66,0.04,730,13.3,83.9,54.8,68.1,86,34,57,52,4.8,66.3
268,34.149,-117.908,Sep 2013,eb5a3f2a-0c25-417a-af78-bb0d643247c7,5.371261726,159,4.8,0.01,396,14.9,88.8,61.1,73.4,76,33,53,54.2,3.5,73
260,35.33916,-120.71488,Jun 2018,91b94b02-cd05-471a-a4e7-5168d56c46ba,1.473763441,160,6.24,0,682,12.7,71.4,49.2,58.7,96,54,76,50.9,4.9,68.3
257,36.18479,-118.99229,Jun 2019,11e0324e-e8ff-4591-b592-9e704ade60d6,9.946907431,169,8.46,0,729,14.3,95.7,60.2,77.8,81,21,44,53.8,3.7,83.5
250,33.076239,-116.902985,Aug 2018,8dddf572-84de-4b20-b740-f5c7847cec3b,5.028304613,153,7.1,0,597,21.2,90,63.7,75.7,93,47,70,64.9,4.2,81.7
250,33.9369,-117.3063,Sep 2019,a14c1f49-8e49-4709-a21b-6c06471a1002,2.867957558,44,5.76,0.01,513,14.4,87.6,62,73.8,76,31,52,54,3.9,74.4
240,37.708743,-121.841879,Aug 2019,4affde91-31a9-4588-bf14-7201fc5c548b,4.290623886,191,7.25,0.04,644,14.7,88.1,56.4,71.4,93,33,57,54.6,3.8,74.8
237,36.24653,-120.31598,Sep 2017,a8567989-a0c5-4c31-9012-82f99d76129f,5.756299891,205,6.65,0,463,10.1,89,62,76.3,50,21,32,43.6,5.7,76.3
231,37.87808,-121.78677,Jul 2017,248bba19-4fdf-4285-a210-1334454ad80a,9.413842886,47,8.68,0.22,664,14.3,94.6,57.2,75.9,85,26,48,54,5,76.7
225,39.005262,-123.195306,Aug 2019,c8f94c30-d0ee-450a-8501-30678aa37c0f,7.481312212,106,7.06,0.01,608,15.6,92.8,54,72.4,89,34,59,56.6,3.9,71.5
225,35.34541,-120.76464,May 2017,048c085b-3162-4906-beef-7aa2ba1b868d,2.104375345,160,5.16,0.37,569,12.2,66.8,46.4,56,96,60,80,49.6,4.8,65.1
215,34.75134,-120.55297,Sep 2016,686e1300-65d3-4e07-8a88-e5952418649b,6.114375744,231,nan,0,434,14.1,72.8,51.4,61.2,91,61,77,53.6,6,68.8
214,33.7626,-117.7274,Jul 2015,ca7da36b-1951-4d52-92b2-1a0b04aab586,5.134319117,75,5.69,0.33,532,18.9,81.5,63.2,71.1,92,53,72,61.8,3.8,73.6
210,37.312877,-120.242411,Jun 2019,cc06431a-5153-4f66-8ada-07af53c175c3,9.956321799,148,7.69,0,696,14.5,92,53,73.1,92,27,51,53.7,3,69.6
207,33.41476,-117.24044,Jul 2018,e3406861-3e7f-4a4b-b16d-6004f3edc5e6,5.030985375,62,6.82,0.02,538,17.6,92.6,63.6,75.4,88,34,61,60,3,73.9
207,39.28926,-121.85906,Jun 2019,48d3b3c4-fcf5-47d9-920f-3b3c1b0f6fb1,6.916158099,244,7.83,0,705,17.4,90.1,61.1,75.7,88,36,57,58.9,4.1,72.8
200,37.72543,-121.90516,Aug 2017,89b5d4db-ce4e-43b9-8618-f89088d35ee1,4.462476738,191,6.46,0.42,554,14,89,57.1,70.9,87,30,56,53.5,3.7,74.7
200,34.23955,-119.20187,Oct 2019,02e6023e-d306-4a67-a09c-b9224b98661e,8.902657456,198,5.25,0,441,8.6,81.6,49.2,64.9,72,23,48,40.7,4.7,65.1
200,37.99136,-121.64118,Oct 2019,d299dec7-b09f-47f7-80c9-859ddd1ecef3,4.541594888,47,5.39,0,413,6.9,81.3,47.6,63.6,58,19,34,33.7,6,62.7
200,34.183,-117.285,Oct 2019,dfc32e06-b88e-4d30-ae3d-22bc18792f5e,6.827442773,192,3.92,0.06,459,5.3,64.9,30.2,47.2,86,22,46,27,3.1,48.2
200,34.630919,-120.187368,Sep 2019,4cebaf5a-70a7-4262-864b-fb3fe3b1d84d,8.156639109,64,5.62,0.06,521,13.7,88.1,51.4,67.1,92,32,62,52.8,3.8,80.9
195,37.81629,-121.68113,Jul 2015,652938d9-2f23-41d8-a49c-30b218594762,7.863441113,47,8.45,0.95,641,12.3,89.4,58.7,75.1,91,32,50,54.7,5.6,75
190,34.9465,-119.8036,May 2017,06b43461-94d0-4379-a1d6-fd26ba93ceea,8.96039872,88,7.53,0.48,676,7.8,80.6,45.7,62.9,69,21,41,37.8,5.3,73.6
190,38.382,-122.311,Nov 2013,79d476e5-0b4d-48e2-a105-2bba5c1140e9,7.559374263,77,2.35,1.12,239,8.2,69.7,39.4,53.2,86,37,61,38.3,3.2,53.8
186,36.704679,-120.405077,Jun 2017,a8e4aa40-5e2a-4fd8-a858-d673576cda73,5.132467074,105,9.55,0,702,12.5,96.5,61,79.9,64,21,36,49.8,6.7,79.4
186,34.26734825,-118.6438159,Nov 2018,c3b66e33-ef00-4874-a29b-b36640c16122,3.668027074,219,3.26,0.87,298,7.4,76.1,51,62.4,66,23,42,31.4,3.1,65.2
184,35.3091,-118.701,Oct 2017,733028fc-bf0a-4737-878b-78a29c9ee2ee,8.91892126,125,4.78,0,383,8.7,81.7,50.2,66,67,25,41,40.1,3.8,72.2
183,35.19008,-118.76152,Oct 2017,ec27a3bd-959b-48f3-872e-2c87047dbae2,1.581914515,125,4.78,0,383,8.7,81.7,50.2,66,67,25,41,40.1,3.8,72.2
175,33.55132,-117.72044,Jun 2018,105b65f3-7e99-4cd6-8b0a-f78004c041eb,9.462107768,75,6.28,0,653,15.8,78.4,58.6,67.2,89,51,69,56.8,3.7,71
175,37.97638,-122.5275,Jun 2018,d6d4d085-1c3b-4ee5-bd2a-dd3779797e97,4.334407299,157,6.83,0,733,13,73.8,49.6,61.3,92,52,70,51.4,4.6,69.7
170,40.12791,-122.19792,Jun 2018,75ad696c-b094-4919-89e3-f879361f5151,7.433276944,222,9.01,0.13,736,14,89.7,59.5,75.6,81,27,47,53,6,71.1
170,34.611824,-120.074655,May 2013,cb5f34a0-177e-445d-9349-dd94063a01d0,2.004048697,64,6.68,0.06,607,11.3,78.5,45,60.1,93,38,64,47.7,5.3,71.8
163,38.63987,-121.08438,Jul 2013,4630e9ce-88ec-4159-9bc9-25ff5f8216cc,9.305910293,131,8.02,0,650,14.3,95,61.5,77.5,73,24,45,53.8,4,83.9
163,38.63987,-121.08438,Jul 2013,4630e9ce-88ec-4159-9bc9-25ff5f8216cc,9.305910293,131,8.02,0,650,14.3,95,61.5,77.5,73,24,45,53.8,4,83.9
160,38.45673,-121.94658,Oct 2018,e9c8c0aa-4d21-4f09-9858-890ea163d580,3.781518094,139,nan,0.06,372,10.1,80.5,49.9,64.5,79,28,49,43.2,1.5,64.9
159,38.34599,-122.6503,Oct 2013,1460f2d9-853b-4901-bed3-ac196e00bb3a,5.101173314,158,3.48,0,353,8.6,77.9,38,55.5,92,30,60,40.4,2.4,58.1
158,38.17693,-122.51253,Jul 2013,c9b5d1ff-c042-4b39-8bac-b10fb6fc6c13,6.013805394,187,6.92,0,630,14.3,81.1,51.2,64,93,44,70,54,5.4,70.3
158,39.2688,-121.26471,Jun 2015,b5fa450f-9b84-4d90-9956-bda9dfe32f28,3.690453064,84,7.91,0,658,14.6,91.9,60.8,78.2,69,28,45,54.1,3.9,74.6
158,36.84479,-119.34487,Sep 2016,63643257-f082-4928-bf0e-77a0417a4613,9.063335158,142,6.18,0,475,10,91.1,56.4,74.6,70,17,34,44.2,4.1,74.5
156,33.997528,-117.769766,Jul 2019,d79e71f2-d827-465d-95a8-d80b6e54456e,5.053249348,78,7.45,0.01,671,17.8,87.9,62,73.7,89,41,63,60.2,4.1,73.5
