AcresBurned,Latitude,Longitude,Started,UniqueID,StationDistance,StationID,Total ETo (in),Total Precip (in),Avg Sol Rad (Ly/day),Avg Vap Pres (mBars),Avg Max Air Temp (F),Avg Min Air Temp (F),Avg Air Temp (F),Avg Max Rel Hum (%),Avg Min Rel Hum (%),Avg Rel Hum (%),Avg Dew Point (F),Avg Wind Speed (mph),Avg Soil Temp (F)
80,39.24678,-121.32399,Jun 2019,31cbc968-6d9d-412b-8bc3-6846ca398fe2,0.6990567078,84,8.14,0.02,675,13.9,88.8,61.4,75.8,70,28,46,52.5,4.5,73.6
80,39.24678,-121.32399,Jun 2019,937f9f26-8d23-4ee7-a0f3-61313dcc63f3,0.6990567078,84,8.14,0.02,675,13.9,88.8,61.4,75.8,70,28,46,52.5,4.5,73.6
80,39.551423,-121.800538,Oct 2019,6890469e-78d7-4dac-b162-6c23498fabcc,4.278277282,12,3.85,0.01,387,8.1,78.6,42.8,58.5,87,21,48,37.9,3,60.8
78,36.96607,-121.55552,Jul 2017,e8ebb6f2-16f5-4342-bce1-d36ff9c9422c,3.61061931,211,7.62,0,624,13.9,87.7,53.2,67.7,92,35,64,53.8,5.8,70.4
76,36.8005,-119.35901,Jun 2017,0956bfcb-8915-4163-b4ed-4f3a6ab32895,5.858201707,142,8.96,0,670,11.9,95.2,60.6,80,69,17,34,48.4,5,80.4
76,36.696879,-119.304499,Jun 2018,595f6f52-a55b-40e7-8aa6-b409ff9a7a5b,6.067028231,142,9.22,0,740,9.5,94.3,56.3,77.6,64,14,30,42.9,4.7,72.9
76,40.5939,-122.17173,Sep 2018,b181e69a-5864-44c1-b5b4-f4c5832a4539,9.860436279,224,5.57,0.08,505,9,90.8,49.9,70,73,17,37,41.2,3.3,65.6
75,38.441792,-122.350844,Apr 2013,d8d1c943-7b5d-4885-9043-f41075d6eded,4.198050074,77,5.98,0.78,557,9.8,76.9,44.7,61.1,86,33,55,42.9,4.9,60.9
75,36.103,-121.117,Apr 2014,91c3081d-33b4-46f2-8774-032c57f0f6a2,2.562028434,113,5.88,0.46,554,9.7,76,43.2,57.5,90,32,61,43.6,5.8,62.1
75,40.68192,-122.4096,Sep 2016,47ee7239-2bc9-4794-8582-982a92fdda9f,7.750099658,224,nan,0,499,9.1,91.3,52.5,72.1,70,15,35,41.8,3.4,77.2
74,34.07612,-117.06765,Jul 2017,67c20627-e6cb-4900-9f40-01e8da154a53,8.514217691,251,8,2.46,609,16.5,96.8,66,80.7,75,26,47,57.9,4.4,77.5
73,39.206,-121.31634,Jul 2013,397ed8e6-6088-4e03-9316-8f50c65a83be,3.213041601,84,8.51,0.01,650,14.8,94.2,64.3,80.1,66,25,42,54.6,3.8,77.6
72,33.75526,-117.25075,Jul 2017,244961af-65d5-472b-972f-e02df96e9ccb,3.516990376,240,8.38,0,629,15.3,96.4,64.6,79.7,71,25,44,55.6,4.7,73.5
70,36.2833,-121.3306,Jun 2016,ae6a40fa-c0f3-460b-8e19-fbf4b5803bb8,5.180668942,114,7.31,0,660,13.5,80.1,50.6,63.2,94,43,69,52.4,7.2,66.9
70,33.41639,-117.08829,May 2016,c88af25d-aff4-4b20-9c58-0b819c8ae99a,9.911613203,237,6.02,0.02,570,13.7,76.6,52.5,62.6,95,45,71,52.7,5.5,64.2
70,33.504964,-117.148204,May 2018,57ef80d4-4674-4a3a-9fd6-3f1d792a1953,5.667234657,62,5.08,0.22,420,12.9,73.1,53.3,60.6,95,49,73,51,2.6,64.3
70,36.6543,-119.5327,Sep 2016,2e8eb057-1d9a-41a7-ab9f-9b85ce3374c4,4.393301219,39,5.67,0,507,12.1,90.2,55.2,72.1,82,20,45,49.4,2.9,73.5
69,36.7279,-119.28241,Aug 2017,386b7562-fe70-490b-a92c-a3c21eece0c2,7.371801864,142,8.29,0.04,555,13.1,99.4,66.5,84.2,65,17,33,51.5,4.4,82.7
67,38.645,-120.874167,Aug 2018,d8de1c4a-9b2c-46ad-aab4-3b2012571e4a,5.630578421,228,7.85,0,643,9.3,87,62,74.4,54,21,34,42.5,3.6,73.3
66,38.82128,-121.03918,Aug 2018,6e4ecf7a-2864-4fc6-85cb-9b2a0ac324df,6.346594805,195,7.24,0,563,11.5,92.6,62.3,76.7,60,21,38,47.9,2.8,76.5
65,38.40958,-122.43172,Oct 2016,3135c367-1274-4cc4-9152-661f6fd7707e,1.975499192,77,2.66,5.13,273,12.5,74.3,45.9,58.7,96,50,75,50.2,2.9,61.6
64,34.384,-119.13249,Nov 2013,0adb968c-eb85-41c5-8e08-04c0ec386c79,4.517282197,198,2.93,0.54,286,10.3,76.3,45.9,59.8,85,35,60,44.5,4,58.5
63,33.81976,-117.18552,Jul 2017,ee20b421-06cd-40d2-a22c-0f9e8ddeee71,4.242758325,240,8.38,0,629,15.3,96.4,64.6,79.7,71,25,44,55.6,4.7,73.5
62,33.20988,-116.46989,Aug 2017,1f8d9fe1-e644-4f53-88ae-4418cc0b4451,8.286184428,207,9.4,0,691,13.8,107.3,74.4,92.9,51,14,26,52.3,3.7,81.1
62,37.166674,-122.361112,Oct 2019,ab8109fd-e8eb-4690-9f5c-3a8c9c47ff48,6.15388546,253,3.68,0.06,392,9.2,73.8,40.1,54.9,89,38,71,44.2,2.4,55.2
60,35.58354,-120.624135,Jun 2018,f3d3e61e-4ab4-4155-a882-4e27de976659,7.834976063,163,6.86,0.19,643,11.5,84.2,48.2,65.8,90,31,54,48.1,3.2,69.9
60,34.74245,-120.18236,May 2018,1a08a7d9-47b2-42ba-94c1-a2e15415b887,7.173634895,165,5.37,0.06,580,12.3,69.6,46.9,56.8,96,58,78,50,4.7,64.4
58,37.968494,-121.678172,Aug 2019,e338f506-b9fa-44c0-ae64-324ed0e590d4,3.049145585,47,8.44,0,643,14.6,95.1,59.1,77,88,25,47,54.6,5.5,74.9
58,35.346,-120.62825,Jul 2017,effeee13-51d7-4cf2-a62f-93b47b34605a,3.631008068,52,6.74,0,630,16.1,83.3,56.7,67.2,94,48,73,57.8,3.1,70.3
57,33.5982,-116.1985,Mar 2014,edff6f87-80b8-4c0d-8f6a-45c6e798b7fa,2.792269077,218,6.66,0,505,7.9,83,47.8,67.2,68,17,35,37.7,6.4,62.3
56,37.79718,-121.85311,Jul 2018,7e24911d-5dc9-4449-ba08-f718c094ac9e,9.451755128,191,8.22,0.09,717,13.8,90.6,57,71.8,86,27,52,53,4,73.9
55,33.4115972,-117.2886249,Aug 2015,3cc1aa4c-b87d-4b4d-99b1-83dc56291b33,6.645397394,62,6.8,0.05,566,18.2,94.4,64.6,77.2,90,34,59,60.7,3,73.4
55,34.23,-116.883,Aug 2015,d0875efe-54fb-4cc2-b647-4f4d210df118,1.29820096,199,6.44,0.19,604,7.5,80,42,62.2,81,20,39,36.6,3,62
55,34.03941,-118.58624,Jun 2017,d1ec9e43-04bd-4926-8362-5e04afe39c90,7.552724462,99,5.48,0.09,608,17,72,58.4,64.5,97,67,82,58.8,3.6,68.2
55,33.57039,-116.1466,May 2019,b4616173-5807-4c04-a416-5374139f3fcc,1.91811625,218,9.2,0.02,670,10.4,86.3,59.5,74,58,22,36,45.3,8.1,67.2
55,38.4446,-122.0041,Sep 2017,c9009967-c0c1-47d3-b2eb-47b2d7a5da0e,4.289088988,139,nan,0,437,11.4,86.8,57.4,72,69,24,42,46.9,4.1,73.6
52,34.9522,-120.2903,Aug 2015,f136ba8d-f6bb-4bad-9815-1d56f9dc8650,9.305155215,165,6.07,0,560,16.6,80.9,55.8,66.3,94,52,76,58.3,4.3,nan
51,35.457978,-120.751555,Nov 2013,587c03e3-4831-47c1-8c03-c08176e91b11,7.206183834,163,2.18,0,252,7.9,70.3,34.6,50,92,33,64,37.9,2.1,54.2
51,35.30151,-120.64398,Sep 2018,6832f18a-6515-4436-bf3b-553bf6302de4,1.257808917,52,4.69,0,462,18.3,87.7,56.1,67.4,98,51,78,58.8,3.2,69.2
50,38.622058,-121.114095,Aug 2019,a0d95805-48db-467e-8dd5-db761eb5ae74,7.481504724,131,7.39,0.03,616,14.8,94.6,60.8,77,81,25,47,55,3.5,76.2
50,38.79549,-121.00299,Jul 2016,f273dffb-e1eb-48dc-b0f9-908857e78095,9.377100297,195,8.77,0,678,10.4,95,65,79.6,51,17,31,45.4,3.5,76.9
50,33.87739,-117.16215,Jul 2017,2f97537a-1333-4dfc-b7a3-b7bf9400ffdd,8.51053804,240,8.38,0,629,15.3,96.4,64.6,79.7,71,25,44,55.6,4.7,73.5
50,34.72379,-120.13249,Jul 2017,a26038b9-df04-4ade-b918-0c4fb9a8dbcf,9.851508254,165,6.75,0,648,15.9,80.5,53.6,64.9,97,52,77,57.1,4,nan
50,35.5123,-120.6368,May 2013,5b5ce06d-7ea9-4d28-b564-715fd0d04f3f,2.851780214,163,6.04,0.65,566,10.1,79.8,44.9,61.8,91,29,54,44.4,3.4,65.5
50,34.15,-118.879444,Nov 2015,3f31752f-4f51-4705-9fe4-50beec88a0e8,8.472091485,217,3.75,1.61,316,6.1,72.7,48.3,60.1,63,21,36,29.8,4.9,62.7
50,34.22551,-118.05545,Oct 2017,dcd7fb2e-3a4f-427e-9b13-1d2bcb0e8ac6,7.274166257,159,4.78,0.1,459,11.2,86.8,58.7,70.4,68,28,49,46.8,3.2,72.8
50,37.97911,-122.11092,Oct 2019,b36ed23e-a3de-4aff-bdbc-d6ebf8d8f077,6.736090233,170,3.93,0.01,415,8.3,79.5,45,61.3,78,23,46,38.5,2.6,59.2
50,32.564583,-116.834583,Oct 2019,e471b23c-f00c-44bc-afc1-6ab02b0af4c3,8.453444102,147,4.91,0.01,466,11,80.5,52.5,65.4,80,31,54,45.5,4.5,69.2
50,34.3183,-117.3189,Sep 2016,324a3c48-efcc-4385-ab87-baf0b5e29b5d,8.176164532,192,5.26,0,520,8.4,73.9,42,58.8,83,28,50,39.3,4.5,55.6
48,37.69926,-122.02805,Aug 2018,a2fbfcae-d658-41f4-88c6-98239d08ff29,7.148974223,171,5.43,0.07,545,14.5,75.2,55.1,63.8,88,53,73,54.5,3.7,70.1
48,33.58577,-116.07429,May 2017,2db503da-a7b2-47a6-92a6-697799eb63f1,5.823975309,218,9.05,0,622,12.5,93.3,60.5,78.9,71,22,39,49.6,7,73.5
47,35.06472,-120.5634,Jul 2017,7dd19215-986b-4365-a40d-2267b4a05de0,2.52502068,202,5.1,0.67,558,15,67.8,51.9,58.7,100,73,89,55.5,2.9,66.2
